School Name,u_school_id,school_district,school_district_id,total_students,teachers,student_teacher_ratio,lunch_free_count,lunch_reduced_count,lunch_total_count,9th,10th,11th,12th,demo_pct_American Indian,demo_pct_Asian,demo_pct_Black,demo_pct_Hispanic,demo_pct_Pacific Islander,demo_pct_White,demo_pct_Two_or_More,Male,Female,HS_ENROLL,Coed,Relig,Community_Type,Charter,Magnet,Relig_subtype,Title 1 School,Title 1 School Wide,type,Street Address,City,State,ZIP,PSS_COUNTY_NO,County FIPS,Locale,County Name
Inverness Academy,2.61E+11,Cheboygan Area Schools,2608910,91,2.5,36.4,71,4,75,11,17,25,,0.010989011,0.010989011,0,0.032967033,0,0.791208791,0.153846154,0.549450549,0.450549451,53,Yes,None,Rural,No,No,No,Yes,Yes,public,PO Box 100,CHEBOYGAN,MI,49721,,,Rural: Distant,
Invest Roosevelt Alternative High School,2.62E+11,Hazel Park School District Of The City Of,2618030,305,6,50.83,263,2,265,60,85,83,77,0,0,0.091803279,0.003278689,0,0.904918033,0,0.632786885,0.367213115,228,Yes,None,Suburban,No,No,No,Yes,Yes,public,1620 EAST ELZA AVE,HAZEL PARK,MI,48030,,,Suburb: Large,
Ionia High School,2.62E+11,Ionia Public Schools,2619250,836,37.15,22.5,339,39,378,224,213,202,197,0,0.002392344,0.011961722,0.125598086,0,0.836124402,0.023923445,0.522727273,0.477272727,639,Yes,None,Rural,No,No,No,Yes,Yes,public,250 EAST TUTTLE RD,IONIA,MI,48846,,,Rural: Fringe,
Iron Mountain High School,2.62E+11,Iron Mountain Public Schools,2619410,273,12.03,22.69,88,13,101,74,71,62,66,0.003663004,0.014652015,0.007326007,0.062271062,0,0.838827839,0.073260073,0.545787546,0.454212454,207,Yes,None,Town,No,No,No,Yes,No,public,300 WEST B ST,IRON MOUNTAIN,MI,49801,,,Town: Remote,
Isabella Day Treatment,2.62E+11,MT. Pleasant City School District,2624750,8,1,8,‡,‡,‡,4,2,0,0,0,0,0,0.125,0,0.5,0.375,0.75,0.25,6,Yes,None,Town,No,No,No,Yes,Yes,public,3350 SOUTH ISABELLA RD,MOUNT PLEASANT,MI,48858,,,Town: Distant,
Ishpeming High School,2.62E+11,Ishpeming Public School District NO. 1,2619530,220,11.24,19.57,112,11,123,53,70,48,49,0.013636364,0.009090909,0.004545455,0.027272727,0,0.895454545,0.05,0.504545455,0.495454545,171,Yes,None,Town,No,No,No,Yes,Yes,public,319 EAST DIVISION ST,ISHPEMING,MI,49849,,,Town: Remote,
IshpemingNegauneeNICE Comm Ed Division,2.62E+11,Ishpeming Public School District NO. 1,2619530,9,1.29,6.98,7,0,7,0,1,0,8,0.111111111,0,0,0,0,0.777777778,0.111111111,0.222222222,0.777777778,1,Yes,None,Town,No,No,No,Yes,Yes,public,101 SOUTH PIONEER AVE,NEGAUNEE,MI,49866,,,Town: Remote,
Ithaca High School,2.62E+11,Ithaca Public Schools,2619580,481,24.88,19.33,172,43,215,80,76,76,87,0.004158004,0.002079002,0.002079002,0.093555094,0.002079002,0.877338877,0.018711019,0.509355509,0.490644491,232,Yes,None,Rural,No,No,No,No,†,public,710 NORTH UNION ST,ITHACA,MI,48847,,,Rural: Distant,
Jack Reque Alternative High School,2.62E+11,Manistique Area Schools,2622470,20,1,20,15,1,16,2,3,5,10,0.35,0,0,0.05,0,0.6,0,0.7,0.3,10,Yes,None,Rural,No,No,No,Yes,Yes,public,100 NORTH CEDAR ST,MANISTIQUE,MI,49854,,,Rural: Fringe,
Jackson High School,2.62E+11,Jackson Public Schools,2619620,1101,56.1,19.63,681,68,749,298,298,254,251,0.000908265,0.021798365,0.313351499,0.090826521,0.000908265,0.450499546,0.121707539,0.516802906,0.483197094,850,Yes,None,City,No,No,No,Yes,Yes,public,544 WILDWOOD AVE,JACKSON,MI,49201,,,City: Small,
Jackson Pathways,2.62E+11,Jackson Public Schools,2619620,83,1.2,69.17,72,1,73,9,19,23,32,0,0,0.397590361,0.084337349,0,0.385542169,0.13253012,0.662650602,0.337349398,51,Yes,None,City,No,No,No,Yes,Yes,public,544 WILDWOOD AVE,JACKSON,MI,49201,,,City: Small,
Jackson Preparatory Early College,2.60E+11,Jackson Preparatory & Early College,2601044,322,15,21.47,107,6,113,33,52,56,,0.00621118,0.01552795,0.096273292,0.099378882,0,0.677018634,0.105590062,0.50931677,0.49068323,141,Yes,None,Rural,Yes,No,Yes,Yes,No,public,2111 EMMONS RD,JACKSON,MI,49201,,,Rural: Fringe,
Jalen Rose Leadership Academy,2.60E+11,Jalen Rose Leadership Academy,2600993,421,16.8,25.06,388,19,407,115,114,95,97,0.002375297,0,0.997624703,0,0,0,0,0.524940618,0.475059382,324,Yes,None,City,Yes,No,Yes,Yes,Yes,public,15000 Trojan Street,Detroit,MI,48235,,,City: Large,
JCLISD Academy A Regional Middle College,2.68E+11,Lenawee Isd,2680680,65,3,21.67,13,0,13,11,7,18,29,0,0,0,0.030769231,0,0.938461538,0.030769231,0.4,0.6,36,Yes,None,Rural,No,No,No,No,†,public,4107 NORTH ADRIAN HWY,ADRIAN,MI,49221,,,Rural: Fringe,
Jeffers High School,2.60E+11,Adams Township School District,2601890,265,15.12,17.53,87,13,100,50,48,53,41,0.003773585,0,0,0.011320755,0,0.98490566,0,0.490566038,0.509433962,151,Yes,None,Rural,No,No,No,Yes,No,public,PO Box 37,Painesdale,MI,49955,,,Rural: Distant,
Jefferson High School,2.62E+11,Jefferson Schools (monroe),2619800,490,21.9,22.37,177,2,179,105,121,128,136,0.002040816,0.010204082,0.004081633,0.036734694,0,0.918367347,0.028571429,0.540816327,0.459183673,354,Yes,None,Suburban,No,No,No,No,†,public,5707 WILLIAMS RD,NEWPORT,MI,48166,,,Suburb: Small,
Jenison High School,2.62E+11,Jenison Public Schools,2619830,1488,74.8,19.89,320,53,373,399,409,347,333,0.001344086,0.028897849,0.017473118,0.077284946,0.000672043,0.830645161,0.043682796,0.483870968,0.516129032,1155,Yes,None,Suburban,No,No,No,No,†,public,2140 BAUER RD,JENISON,MI,49428,,,Suburb: Large,
Jenison International Academy,2.62E+11,Jenison Public Schools,2619830,154,11.6,13.28,29,9,38,25,22,41,,0.019480519,0.032467532,0.012987013,0.084415584,0,0.805194805,0.045454545,0.376623377,0.623376623,88,Yes,None,Suburban,No,No,No,Yes,No,public,800 CONNIE ST,JENISON,MI,49428,,,Suburb: Large,
Jerry L White Center,2.60E+11,Detroit Public Schools Community District,2601103,114,20,5.7,79,0,79,22,21,33,38,0,0,0.859649123,0.078947368,0,0.061403509,0,0.675438596,0.324561404,76,Yes,None,City,No,No,No,No,†,public,14804 WEST MCNICHOLS RD,DETROIT,MI,48235,,,City: Large,
Jo Brighton Skills Center,2.64E+11,Wyandotte School District Of The City Of,2636540,144,23.9,6.03,62,5,67,13,,,,0.006944444,0.006944444,0.194444444,0.166666667,0,0.618055556,0.006944444,0.520833333,0.479166667,13,Yes,None,Suburban,No,No,No,Yes,Yes,public,4460 18TH ST,WYANDOTTE,MI,48192,,,Suburb: Large,
JohannesburgLewiston High School,2.62E+11,Johannesburg-lewiston Area Schools,2619890,215,14.59,14.74,107,9,116,62,55,50,48,0,0.004651163,0.004651163,0.018604651,0,0.962790698,0.009302326,0.539534884,0.460465116,167,Yes,None,Rural,No,No,No,Yes,Yes,public,PO Box 69,Johannesburg,MI,49751,,,Rural: Distant,
John Glenn High School,2.60E+11,Bangor Township Schools,2603900,848,33.75,25.13,310,34,344,229,239,169,211,0.002358491,0.011792453,0.018867925,0.099056604,0,0.840801887,0.027122642,0.496462264,0.503537736,637,Yes,None,Suburban,No,No,No,Yes,Yes,public,3201 KIESEL RD,BAY CITY,MI,48706,,,Suburb: Small,
John Glenn High School,2.60E+11,Wayne-westland Community School District,2600015,1622,82.7,19.61,778,20,798,556,379,333,331,0.005548705,0.020345253,0.379161529,0.0702836,0.001233046,0.488902589,0.034525277,0.50431566,0.49568434,1268,Yes,None,Suburban,No,No,No,Yes,Yes,public,36105 MARQUETTE ST,WESTLAND,MI,48185,,,Suburb: Large,
John M Schultz Educational Campus,2.63E+11,Rochester Community School District,2629940,52,10.21,5.09,34,1,35,0,3,9,40,0,0.038461538,0.057692308,0.153846154,0,0.673076923,0.076923077,0.576923077,0.423076923,12,Yes,None,Suburban,No,No,No,No,†,public,1440 JOHN R RD,ROCHESTER HILLS,MI,48307,,,Suburb: Large,
Jonesville High School,2.62E+11,Jonesville Community Schools,2619920,376,20.55,18.3,109,13,122,104,97,88,87,0,0,0,0.039893617,0,0.95212766,0.007978723,0.478723404,0.521276596,289,Yes,None,Rural,No,No,No,No,†,public,460 ADRIAN RD,JONESVILLE,MI,49250,,,Rural: Fringe,
Jonesville Pathways,2.62E+11,Jonesville Community Schools,2619920,91,1,91,61,2,63,14,24,19,,0,0.032967033,0,0.087912088,0,0.824175824,0.054945055,0.472527473,0.527472527,57,Yes,None,Town,No,No,No,Yes,Yes,public,401 EAST CHICAGO ST,JONESVILLE,MI,49250,,,Town: Distant,
Juvenile Care Center,2.62E+11,Midland Public Schools,2623820,28,1.5,18.67,20,1,21,4,,,,0,0,0.071428571,0.071428571,0,0.821428571,0.035714286,0.678571429,0.321428571,4,Yes,None,City,No,No,No,No,†,public,3712 EAST ASHMAN ST,MIDLAND,MI,48642,,,City: Small,
JW Sexton High School,2.62E+11,Lansing Public School District,2621150,938,53.58,17.51,723,31,754,263,178,131,91,0.004264392,0.045842217,0.541577825,0.143923241,0.001066098,0.167377399,0.095948827,0.531982942,0.468017058,572,Yes,None,City,No,Yes,No,Yes,Yes,public,102 MCPHERSON AVE,LANSING,MI,48915,,,City: Midsize,
Kalamazoo Central High School,2.62E+11,Kalamazoo Public Schools,2619950,1803,75.13,24,"1,028",90,"1,118",695,451,357,300,0.001663894,0.017193566,0.442041043,0.113144759,0.000554631,0.317803661,0.107598447,0.490293955,0.509706045,1503,Yes,None,Suburban,No,No,No,Yes,Yes,public,2432 NORTH DRAKE RD,KALAMAZOO,MI,49006,,,Suburb: Midsize,
Kalamazoo Covenant Academy,2.60E+11,Kalamazoo Covenant Academy,2601099,117,6,19.5,114,0,114,42,42,20,13,0.008547009,0.008547009,0.623931624,0.102564103,0,0.222222222,0.034188034,0.452991453,0.547008547,104,Yes,None,City,Yes,No,Yes,Yes,Yes,public,400 WEST CROSSTOWN PKWY,KALAMAZOO,MI,49001,,,City: Small,
Kalamazoo Innovative Learning Program,2.62E+11,Kalamazoo Public Schools,2619950,57,0,†,45,1,46,10,14,15,18,0,0,0.49122807,0.140350877,0,0.298245614,0.070175439,0.50877193,0.49122807,39,Yes,None,City,No,No,No,Yes,Yes,public,3410 LAIRD AVE,Kalamazoo,MI,49008,,,City: Small,
Kalkaska High School,2.62E+11,Kalkaska Public Schools,2620050,465,24.53,18.96,228,30,258,140,110,107,108,0.006451613,0.002150538,0.002150538,0.034408602,0.002150538,0.939784946,0.012903226,0.490322581,0.509677419,357,Yes,None,Town,No,No,No,No,†,public,109 N Birch Street,Kalkaska,MI,49646,,,Town: Remote,
Kearsley High School,2.62E+11,Kearsley Community School District,2620070,888,44.71,19.86,609,84,693,330,216,156,186,0.005630631,0.005630631,0.106981982,0.063063063,0.001126126,0.765765766,0.051801802,0.52027027,0.47972973,702,Yes,None,Suburban,No,No,No,Yes,Yes,public,4302 UNDERHILL DR,FLINT,MI,48506,,,Suburb: Large,
Kearsley Virtual Academy,2.62E+11,Kearsley Community School District,2620070,43,0.4,107.5,35,2,37,7,13,10,13,0,0,0.046511628,0.11627907,0,0.744186047,0.093023256,0.581395349,0.418604651,30,Yes,None,Suburban,No,No,No,Yes,Yes,public,4302 UNDERHILL DR,FLINT,MI,48506,,,Suburb: Large,
Kelloggsville High School,2.62E+11,Kelloggsville Public Schools,2620160,655,35.4,18.5,418,24,442,204,166,165,120,0,0.059541985,0.245801527,0.47480916,0,0.178625954,0.041221374,0.491603053,0.508396947,535,Yes,None,Suburban,No,No,No,Yes,Yes,public,4787 Division Ave SW,Wyoming,MI,49548,,,Suburb: Large,
Kenowa Hills High School,2.62E+11,Kenowa Hills Public Schools,2620280,989,52.22,18.94,327,65,392,273,264,235,217,0.004044489,0.018200202,0.043478261,0.170879676,0.002022245,0.724974722,0.036400404,0.493427705,0.506572295,772,Yes,None,Suburban,No,No,No,No,†,public,3825 HENDERSHOT AVE NW,GRAND RAPIDS,MI,49544,,,Suburb: Large,
Kenowa Hills Pathways High School,2.62E+11,Kenowa Hills Public Schools,2620280,91,0.8,113.75,55,7,62,7,19,27,38,0,0.010989011,0.054945055,0.274725275,0,0.571428571,0.087912088,0.483516484,0.516483516,53,Yes,None,Suburban,No,No,No,Yes,Yes,public,3950 Hendershot NW,Grand Rapids,MI,49544,,,Suburb: Large,
Kensington Woods Schools,2.60E+11,Kensington Woods Schools,2600099,129,8.3,15.54,40,5,45,20,16,18,,0,0.007751938,0,0.007751938,0,0.968992248,0.015503876,0.527131783,0.472868217,54,Yes,None,Suburban,Yes,No,Yes,Yes,No,public,9501 Pettys Road,Lakeland,MI,48143,,,Suburb: Midsize,
Kent City Alternative High School,2.62E+11,Kent City Community Schools,2620310,6,0.4,15,‡,‡,‡,0,1,1,,0,0,0,0.333333333,0,0.666666667,0,0.5,0.5,2,Yes,None,Rural,No,No,No,Yes,Yes,public,351 N MAIN ST,KENT CITY,MI,49330,,,Rural: Distant,
Kent City High School,2.62E+11,Kent City Community Schools,2620310,386,15.3,25.23,139,10,149,89,103,116,78,0,0.005181347,0,0.215025907,0,0.761658031,0.018134715,0.507772021,0.492227979,308,Yes,None,Rural,No,No,No,No,†,public,351 NORTH MAIN ST,KENT CITY,MI,49330,,,Rural: Distant,
Kent Education CenterBeltline,2.68E+11,Kent Isd,2680620,47,13,3.62,35,0,35,18,11,5,5,0,0,0.191489362,0.063829787,0,0.553191489,0.191489362,0.808510638,0.191489362,34,Yes,None,City,No,No,No,No,†,public,1606 LEFFINGWELL AVE NE,GRAND RAPIDS,MI,49525,,,City: Midsize,
Kingsford High School,2.61E+11,Breitung Township School District,2606720,580,29.66,19.55,163,14,177,149,157,128,146,0.003448276,0.005172414,0.003448276,0.025862069,0,0.912068966,0.05,0.518965517,0.481034483,434,Yes,None,Town,No,No,No,No,†,public,431 HAMILTON AVE,KINGSFORD,MI,49802,,,Town: Remote,
Kingsley Area High School,2.62E+11,Kingsley Area Schools,2620380,500,25.44,19.65,183,28,211,130,116,124,130,0.006,0.008,0.014,0.026,0.002,0.93,0.014,0.51,0.49,370,Yes,None,Rural,No,No,No,No,†,public,402 FENTON ST,KINGSLEY,MI,49649,,,Rural: Distant,
Kingston High School,2.62E+11,Kingston Community School District,2620400,298,14.5,20.55,131,24,155,56,47,47,50,0.013422819,0.006711409,0.003355705,0.003355705,0,0.963087248,0.010067114,0.523489933,0.476510067,150,Yes,None,Rural,No,No,No,Yes,Yes,public,5790 STATE ST,KINGSTON,MI,48741,,,Rural: Remote,
Laingsburg High School,2.62E+11,Laingsburg Community Schools,2620550,381,21.38,17.82,71,15,86,97,84,108,92,0,0.002624672,0.005249344,0.06824147,0,0.908136483,0.015748031,0.527559055,0.472440945,289,Yes,None,Rural,No,No,No,No,†,public,8008 WOODBURY RD,LAINGSBURG,MI,48848,,,Rural: Distant,
Lake City High School,2.62E+11,Lake City Area School District,2620610,379,19.06,19.88,230,49,279,114,98,77,90,0.005277045,0.005277045,0.002638522,0.029023747,0,0.91292876,0.044854881,0.488126649,0.511873351,289,Yes,None,Rural,No,No,No,No,†,public,PO Box 900,Lake City,MI,49651,,,Rural: Distant,
Lake Fenton High School,2.62E+11,Lake Fenton Community Schools,2620670,719,33.56,21.42,174,26,200,193,178,158,190,0.004172462,0.002781641,0.012517385,0.036161335,0.001390821,0.917941586,0.025034771,0.504867872,0.495132128,529,Yes,None,Rural,No,No,No,No,†,public,4070 Lahring Rd,Linden,MI,48451,,,Rural: Fringe,
Lake Huron Virtual Hybrid High School,2.63E+11,New Haven Community Schools,2625230,41,1.32,31.06,29,1,30,6,12,16,,0,0,0.146341463,0.024390244,0.024390244,0.756097561,0.048780488,0.609756098,0.390243902,34,Yes,None,Suburban,No,No,No,Yes,Yes,public,PO Box 482000,New Haven,MI,48048,,,Suburb: Large,
Lake Orion Community High School,2.62E+11,Lake Orion Community Schools,2620730,2178,131.1,16.61,414,49,463,556,533,546,543,0.000918274,0.028466483,0.036271809,0.085858586,0.00137741,0.788797062,0.058310376,0.512855831,0.487144169,1635,Yes,None,Rural,No,No,No,No,†,public,495 EAST SCRIPPS RD,LAKE ORION,MI,48360,,,Rural: Fringe,
Lake Shore High School,2.63E+11,Lake Shore Public Schools (macomb),2632670,1029,60.15,17.11,452,65,517,278,240,250,261,0.01068999,0.007774538,0.191448008,0.03595724,0.002915452,0.698736638,0.052478134,0.502429543,0.497570457,768,Yes,None,Suburban,No,No,No,Yes,Yes,public,22980 EAST 13 MILE RD,SAINT CLAIR SHORES,MI,48082,,,Suburb: Large,
Lakeland High School,2.62E+11,Huron Valley Schools,2618990,1134,66.7,17,220,18,238,297,257,269,,0.004409171,0.005291005,0.012345679,0.065255732,0.000881834,0.895061728,0.01675485,0.503527337,0.496472663,823,Yes,None,Suburban,No,No,No,No,†,public,1630 BOGIE LAKE RD,WHITE LAKE,MI,48383,,,Suburb: Large,
Laker High School,2.61E+11,Elkton-pigeon-bay Port Laker Schools,2613090,296,14.92,19.84,109,14,123,88,72,61,75,0,0.010135135,0.006756757,0.050675676,0,0.922297297,0.010135135,0.439189189,0.560810811,221,Yes,None,Rural,No,No,No,Yes,No,public,6136 PIGEON RD,PIGEON,MI,48755,,,Rural: Remote,
Lakeshore High School,2.62E+11,Lakeshore School District (berrien),2620820,872,45.32,19.24,200,23,223,224,219,203,226,0.006880734,0.029816514,0.051605505,0.077981651,0,0.805045872,0.028669725,0.529816514,0.470183486,646,Yes,None,Suburban,No,No,No,No,†,public,5771 CLEVELAND AVE,STEVENSVILLE,MI,49127,,,Suburb: Small,
Lakeview Alternative High School,2.62E+11,Lakeview SCH. District (calhoun),2620850,64,0.59,108.47,40,1,41,1,6,8,49,0,0.078125,0.140625,0.0625,0,0.5,0.21875,0.5625,0.4375,15,Yes,None,City,No,No,No,No,†,public,15 ARBOR ST,BATTLE CREEK,MI,49015,,,City: Small,
Lakeview High School,2.62E+11,Lakeview Community Schools (montcalm),2620910,376,19.5,19.28,148,22,170,89,88,68,61,0,0.002659574,0.013297872,0.034574468,0,0.936170213,0.013297872,0.510638298,0.489361702,245,Yes,None,Rural,No,No,No,Yes,Yes,public,9800 YOUNGMAN RD,LAKEVIEW,MI,48850,,,Rural: Distant,
Lakeview High School,2.62E+11,Lakeview SCH. District (calhoun),2620850,1364,63.65,21.43,589,83,672,386,324,367,287,0.00659824,0.102639296,0.112170088,0.105571848,0.001466276,0.576979472,0.09457478,0.502199413,0.497800587,1077,Yes,None,City,No,No,No,No,†,public,15060 Helmer Rd S,Battle Creek,MI,49015,,,City: Small,
Lakeview High School,2.62E+11,Lakeview Public Schools (macomb),2620880,1396,58.77,23.75,428,57,485,373,389,328,306,0.003581662,0.006446991,0.153295129,0.042979943,0.001432665,0.729942693,0.062320917,0.48495702,0.51504298,1090,Yes,None,Suburban,No,No,No,No,†,public,21100 EAST 11 MILE RD,SAINT CLAIR SHORES,MI,48081,,,Suburb: Large,
LakeVille High School,2.62E+11,Lakeville Community School District,2620940,400,19.66,20.35,175,15,190,93,103,88,116,0.0075,0,0.005,0.0625,0,0.9,0.025,0.515,0.485,284,Yes,None,Rural,No,No,No,No,†,public,12455 WILSON RD,OTISVILLE,MI,48463,,,Rural: Distant,
Lakewood High School,2.62E+11,Lakewood Public Schools,2620980,519,24.5,21.18,134,31,165,140,136,124,119,0,0.007707129,0.009633911,0.080924855,0.001926782,0.870905588,0.028901734,0.483622351,0.516377649,400,Yes,None,Rural,No,No,No,Yes,No,public,7223 VELTE RD,LAKE ODESSA,MI,48849,,,Rural: Distant,
Lamphere Center,2.62E+11,Lamphere Public Schools,2621120,37,8,4.62,17,1,18,4,5,,,0.027027027,0.054054054,0.189189189,0.027027027,0,0.621621622,0.081081081,0.72972973,0.27027027,9,Yes,None,Suburban,No,No,No,No,†,public,29685 TAWAS ST,MADISON HEIGHTS,MI,48071,,,Suburb: Large,
Lamphere High School,2.62E+11,Lamphere Public Schools,2621120,736,38.6,19.07,327,23,350,188,177,170,201,0.004076087,0.057065217,0.085597826,0.046195652,0,0.755434783,0.051630435,0.497282609,0.502717391,535,Yes,None,Suburban,No,No,No,No,†,public,610 WEST 13 MILE RD,MADISON HEIGHTS,MI,48071,,,Suburb: Large,
Lapeer High School,2.62E+11,Lapeer Community Schools,2621180,1243,48.6,25.58,403,28,431,,415,399,429,0.004022526,0.013676589,0.004827031,0.037811746,0.000804505,0.907481899,0.031375704,0.528559936,0.471440064,814,Yes,None,Town,No,No,No,Yes,No,public,933 SOUTH SAGINAW ST,LAPEER,MI,48446,,,Town: Fringe,
LaSalle High School,2.60E+11,ST. Ignace Area Schools,2600012,203,8,25.38,98,14,112,53,56,42,52,0.54679803,0,0.02955665,0.019704433,0,0.389162562,0.014778325,0.536945813,0.463054187,151,Yes,None,Rural,No,No,No,Yes,No,public,W443 PORTAGE ST,SAINT IGNACE,MI,49781,,,Rural: Fringe,
Lawrence JrSr High School,2.62E+11,Lawrence Public Schools,2621210,247,14.38,17.18,156,18,174,37,48,43,52,0,0.004048583,0.016194332,0.356275304,0,0.607287449,0.016194332,0.550607287,0.449392713,128,Yes,None,Rural,No,No,No,Yes,Yes,public,650 WEST SAINT JOSEPH ST,LAWRENCE,MI,49064,,,Rural: Distant,
Lawton Accelerated Academic Center,2.62E+11,Lawton Community School District,2621240,55,0.4,137.5,39,0,39,2,10,17,,0,0,0,0.163636364,0,0.781818182,0.054545455,0.563636364,0.436363636,29,Yes,None,Town,No,No,No,Yes,Yes,public,101 PRIMARY WAY,LAWTON,MI,49065,,,Town: Fringe,
Lawton High School,2.62E+11,Lawton Community School District,2621240,300,15.35,19.54,107,9,116,70,84,77,69,0,0,0.003333333,0.15,0,0.81,0.036666667,0.543333333,0.456666667,231,Yes,None,Rural,No,No,No,Yes,Yes,public,101 PRIMARY WAY,LAWTON,MI,49065,,,Rural: Fringe,
Learning Options High School,2.62E+11,Lake Orion Community Schools,2620730,85,3.23,26.32,38,9,47,3,19,26,37,0,0.011764706,0.023529412,0.152941176,0,0.717647059,0.094117647,0.552941176,0.447058824,48,Yes,None,Suburban,No,Yes,No,Yes,Yes,public,455 E Scripps Road,Lake Orion,MI,48360,,,Suburb: Large,
Lee High School,2.62E+11,Godfrey-lee Public Schools,2616080,524,26.23,19.98,431,48,479,167,139,129,89,0,0,0.078244275,0.841603053,0,0.057251908,0.022900763,0.545801527,0.454198473,435,Yes,None,Suburban,No,No,No,Yes,Yes,public,1335 Lee St SW,Wyoming,MI,49509,,,Suburb: Large,
Lee M Thurston High School,2.63E+11,South Redford School District,2632280,1009,49.56,20.36,545,49,594,242,277,224,266,0.002973241,0.004955401,0.782953419,0.03666997,0,0.124876115,0.047571853,0.517343905,0.482656095,743,Yes,None,Suburban,No,No,No,No,†,public,26255 Schoolcraft,Redford,MI,48239,,,Suburb: Large,
Legacy Academy,2.60E+11,Detroit Public Schools Community District,2601103,24,11,2.18,21,0,21,6,3,1,,0,0,0.958333333,0,0,0,0.041666667,0.791666667,0.208333333,10,Yes,None,City,No,No,No,Yes,Yes,public,2750 SELDEN ST,DETROIT,MI,48208,,,City: Large,
Legacy High School,2.62E+11,Hartland Consolidated Schools,2617910,46,3.7,12.43,16,0,16,2,9,13,22,0,0,0.02173913,0.065217391,0,0.913043478,0,0.52173913,0.47826087,24,Yes,None,Rural,No,No,No,Yes,No,public,9525 EAST HIGHLAND RD,HOWELL,MI,48843,,,Rural: Fringe,
Leslie High School,2.62E+11,Leslie Public Schools,2621450,335,21.56,15.54,121,19,140,110,78,85,62,0,0.008955224,0.011940299,0.020895522,0,0.940298507,0.017910448,0.456716418,0.543283582,273,Yes,None,Rural,No,No,No,No,†,public,4141 HULL RD,LESLIE,MI,49251,,,Rural: Fringe,
Life Skills Center,2.68E+11,Northwest Education Services,2680440,80,17.6,4.55,31,1,32,0,0,1,5,0.0125,0.0125,0.025,0.0125,0.0125,0.925,0,0.65,0.35,1,Yes,None,Town,No,No,No,No,†,public,880 PARSONS RD,TRAVERSE CITY,MI,49686,,,Town: Remote,
Life Skills Center of Pontiac,2.60E+11,Life Skills Center Of Pontiac,2600292,62,2,31,59,0,59,30,17,7,8,0,0,0.709677419,0.112903226,0,0.112903226,0.064516129,0.580645161,0.419354839,54,Yes,None,City,Yes,No,Yes,Yes,Yes,public,142 AUBURN AVE,PONTIAC,MI,48342,,,City: Small,
Lighthouse Academy Juvenile Justice Institute,2.60E+11,Lighthouse Academy,2600949,13,1.35,9.63,10,0,10,7,3,0,,0,0,0.307692308,0.230769231,0,0.461538462,0,0.846153846,0.153846154,10,Yes,None,Suburban,Yes,No,Yes,Yes,Yes,public,12263 JAMES ST,HOLLAND,MI,49424,,,Suburb: Small,
Lighthouse Academy Ottawa Juvenile Detention Center,2.60E+11,Lighthouse Academy,2600949,28,4.58,6.11,25,0,25,13,,,,0.035714286,0,0.25,0.107142857,0,0.5,0.107142857,0.5,0.5,13,Yes,None,Rural,Yes,No,Yes,No,†,public,12120 FILLMORE ST,WEST OLIVE,MI,49460,,,Rural: Distant,
Lighthouse Academy The Pier,2.60E+11,Lighthouse Academy,2600949,25,2.63,9.51,22,0,22,9,10,4,2,0,0,0.72,0.2,0,0.08,0,0.88,0.12,23,Yes,None,City,Yes,No,Yes,No,†,public,703 Ball Avenue NE,Grand Rapids,MI,49503,,,City: Midsize,
Lincoln Alternative High School,2.63E+11,Owosso Public Schools,2627210,69,4.19,16.47,54,1,55,0,2,13,54,0,0,0,0.028985507,0,0.971014493,0,0.52173913,0.47826087,15,Yes,None,Town,No,No,No,Yes,Yes,public,645 Alger Street,Owosso,MI,48867,,,Town: Distant,
Lincoln High School,2.63E+11,Van Dyke Public Schools,2634680,467,31.9,14.64,378,18,396,126,121,106,114,0,0.03640257,0.704496788,0.038543897,0,0.160599572,0.059957173,0.533190578,0.466809422,353,Yes,None,City,No,No,No,Yes,Yes,public,22900 FEDERAL AVE,WARREN,MI,48089,,,City: Midsize,
Lincoln Park High School,2.62E+11,Lincoln Park School District Of The City Of,2621600,1380,63,21.9,"1,050",76,"1,126",361,335,315,369,0.003623188,0.005072464,0.118115942,0.464492754,0.000724638,0.361594203,0.046376812,0.512318841,0.487681159,1011,Yes,None,Suburban,No,No,No,No,†,public,1701 CHAMPAIGN RD,LINCOLN PARK,MI,48146,,,Suburb: Large,
Lincoln Senior High School,2.62E+11,Lincoln Consolidated School District,2621570,946,49.81,18.99,361,31,392,262,231,206,247,0.001057082,0.012684989,0.303382664,0.076109937,0.002114165,0.528541226,0.076109937,0.540169133,0.459830867,699,Yes,None,Rural,No,No,No,No,†,public,7425 WILLIS RD,YPSILANTI,MI,48197,,,Rural: Fringe,
LincolnKing Adams Young School Grove Campus,2.60E+11,Lincoln-king Adams-young Academy,2601139,525,9,58.33,523,0,523,,,157,146,0.003809524,0.001904762,0.99047619,0.003809524,0,0,0,0.508571429,0.491428571,157,Yes,None,City,Yes,No,Yes,Yes,Yes,public,13436 GROVE ST,DETROIT,MI,48235,,,City: Large,
Linden High School,2.62E+11,Linden Community Schools,2621690,838,41.9,20,179,18,197,210,218,210,196,0.002386635,0.002386635,0.008353222,0.034606205,0.002386635,0.91646778,0.033412888,0.523866348,0.476133652,638,Yes,None,Suburban,No,No,No,No,†,public,7201 SILVER LAKE RD,LINDEN,MI,48451,,,Suburb: Large,
