teamName,teamId,season_year,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_W,playoff_opponents,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_L,regular_season_T,regular_season_W,regular_season_opponents,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_opponents,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_opponents,away_win_pct,away_run_diff_total,away_run_diff_mean
Grosse Pointe North,96254,2011,2,7.0,7.0,14.0,2,8.5,8.5,17.0,1.0,1.0,"[95687.0, 95816.0]",0.5,-3.0,-1.5,23.0,6.304347826086956,7.0,145.0,23.0,6.434782608695652,5.0,148.0,14.0,11.0,8.0,"[96090.0, 96041.0, 96041.0, 96153.0, 96121.0, 96121.0, 95788.0, 95860.0, 96121.0, 96121.0, 95687.0, 95687.0, 95816.0, 95835.0, 95762.0, 95816.0, 95870.0, 95835.0, 96307.0, 95816.0, 95816.0, 95703.0, 95703.0, 95816.0, 95835.0, 95762.0, 95835.0, 96116.0, 96116.0, 95870.0, 96307.0, 95776.0, 95776.0]",0.34782608695652173,-3.0,-0.13043478260869623,17.0,7.294117647058823,7.0,124.0,17.0,6.470588235294118,6.0,110.0,8.0,8.0,8.0,"[96090.0, 96153.0, 96121.0, 96121.0, 95788.0, 96121.0, 96121.0, 95687.0, 95687.0, 95816.0, 95835.0, 95762.0, 95870.0, 95816.0, 95703.0, 95816.0, 95835.0, 95762.0, 95835.0, 96116.0, 96116.0, 96307.0, 95776.0, 95776.0]",0.47058823529411764,14.0,0.8235294117647056,6.0,3.5,2.0,21.0,6.0,6.333333333333333,5.0,38.0,6.0,3.0,0.0,"[96041.0, 96041.0, 95860.0, 95816.0, 95835.0, 96307.0, 95816.0, 95703.0, 95870.0]",0.0,-17.0,-2.833333333333333
Grosse Pointe South,95816,2011,4,10.75,11.0,43.0,4,4.0,4.0,16.0,1.0,3.0,"[96195.0, 95788.0, 96254.0, 95835.0]",0.75,27.0,6.75,29.0,9.551724137931034,10.0,277.0,29.0,4.827586206896552,5.0,140.0,6.0,13.0,23.0,"[96160.0, 95898.0, 95898.0, 95841.0, 96192.0, 258112.0, nan, 264835.0, 96254.0, 96307.0, 96125.0, 95878.0, 95884.0, 95878.0, 95870.0, 96254.0, 95835.0, 96094.0, 96094.0, 95762.0, 96254.0, 96254.0, 95703.0, 95703.0, 95953.0, 96254.0, 96307.0, 96307.0, 95870.0, 95870.0, 95698.0, 95776.0, 95788.0, 95698.0, 96058.0, 95835.0, 95803.0, 95762.0, 95762.0, 96112.0, 95913.0, 95703.0]",0.7931034482758621,137.0,4.724137931034482,20.0,10.6,10.5,212.0,20.0,4.45,4.0,89.0,2.0,9.0,18.0,"[96160.0, 95898.0, 95898.0, 95841.0, 96192.0, 258112.0, nan, 96307.0, 96125.0, 95878.0, 95884.0, 95878.0, 95870.0, 96254.0, 95762.0, 96254.0, 95953.0, 96307.0, 95698.0, 95776.0, 95788.0, 95698.0, 96058.0, 95835.0, 95803.0, 95762.0, 95762.0, 96112.0, 95913.0]",0.9,123.0,6.1499999999999995,9.0,7.222222222222222,6.0,65.0,9.0,5.666666666666667,7.0,51.0,4.0,4.0,5.0,"[264835.0, 96254.0, 95835.0, 96094.0, 96094.0, 96254.0, 95703.0, 95703.0, 96254.0, 96307.0, 95870.0, 95870.0, 95703.0]",0.5555555555555556,14.0,1.5555555555555554
Grosse Pointe Woods University Liggett,95703,2011,8,8.25,5.5,66.0,8,0.5,0.5,4.0,0.0,8.0,"[95691.0, 95944.0, 96317.0, 96293.0, 96000.0, 95786.0, 96042.0, 95866.0]",1.0,62.0,7.75,11.0,7.2727272727272725,3.0,80.0,11.0,1.7272727272727273,1.0,19.0,2.0,30.0,9.0,"[96303.0, 95898.0, 96317.0, 95905.0, 95905.0, 95953.0, 95868.0, 96002.0, 96002.0, 96156.0, 96288.0, 96009.0, 96009.0, 96116.0, 96293.0, 95898.0, 96307.0, 96289.0, 96289.0, 95905.0, 95905.0, 96317.0, 96317.0, 95905.0, 95816.0, 95816.0, 96254.0, 95953.0, 95868.0, 96002.0, 96002.0, 96156.0, 96235.0, 96235.0, 95913.0, 96288.0, 96288.0, 96293.0, 95963.0, 95963.0, 95816.0]",0.8181818181818182,61.0,5.545454545454545,8.0,8.0,3.0,64.0,8.0,1.75,1.0,14.0,2.0,26.0,6.0,"[96303.0, 95898.0, 95905.0, 95905.0, 95953.0, 95868.0, 96002.0, 96002.0, 96156.0, 96288.0, 96009.0, 96009.0, 96293.0, 95898.0, 96307.0, 96289.0, 96289.0, 95905.0, 95905.0, 96317.0, 96317.0, 95816.0, 96254.0, 95953.0, 95868.0, 96002.0, 96002.0, 96156.0, 95913.0, 96288.0, 96288.0, 95963.0, 95963.0, 95816.0]",0.75,50.0,6.25,3.0,5.333333333333333,6.0,16.0,3.0,1.6666666666666667,2.0,5.0,0.0,4.0,3.0,"[96317.0, 96116.0, 95905.0, 95816.0, 96235.0, 96235.0, 96293.0]",1.0,11.0,3.666666666666666
Hale,96276,2011,3,7.0,6.0,21.0,3,5.0,6.0,15.0,1.0,2.0,"[96076.0, 96249.0, 95959.0]",0.6666666666666666,6.0,2.0,2.0,2.5,2.5,5.0,2.0,16.5,16.5,33.0,2.0,3.0,0.0,"[95959.0, 95959.0, 96076.0, 96076.0, 96076.0]",0.0,-28.0,-14.0,2.0,2.5,2.5,5.0,2.0,16.5,16.5,33.0,2.0,0.0,0.0,"[95959.0, 95959.0]",0.0,-28.0,-14.0,0.0,,,0.0,0.0,,,0.0,0.0,3.0,0.0,"[96076.0, 96076.0, 96076.0]",,0.0,
Hamilton,95722,2011,3,7.666666666666667,9.0,23.0,3,7.666666666666667,6.0,23.0,1.0,2.0,"[96174.0, 95797.0, 96057.0]",0.6666666666666666,0.0,0.0,5.0,8.2,6.0,41.0,5.0,1.8,2.0,9.0,0.0,0.0,5.0,"[95797.0, 95797.0, 96315.0, 95938.0, 95938.0]",1.0,32.0,6.3999999999999995,3.0,10.666666666666666,13.0,32.0,3.0,1.3333333333333333,1.0,4.0,0.0,0.0,3.0,"[95797.0, 95797.0, 96315.0]",1.0,28.0,9.333333333333332,2.0,4.5,4.5,9.0,2.0,2.5,2.5,5.0,0.0,0.0,2.0,"[95938.0, 95938.0]",1.0,4.0,2.0
Hamtramck,96102,2011,2,1.0,1.0,2.0,2,5.0,5.0,10.0,1.0,1.0,"[96132.0, 96086.0]",0.5,-8.0,-4.0,8.0,10.375,11.0,83.0,8.0,9.75,8.0,78.0,4.0,7.0,4.0,"[96145.0, 95718.0, 96056.0, 95805.0, 95809.0, 96066.0, 95728.0, 95728.0, 96056.0, 96116.0, 95819.0, 95765.0, 95809.0, 95765.0, 96116.0]",0.5,5.0,0.625,3.0,13.333333333333334,19.0,40.0,3.0,7.333333333333333,5.0,22.0,1.0,7.0,2.0,"[96056.0, 95805.0, 95809.0, 96066.0, 95728.0, 95728.0, 95819.0, 95765.0, 95765.0, 96116.0]",0.6666666666666666,18.0,6.000000000000001,5.0,8.6,10.0,43.0,5.0,11.2,10.0,56.0,3.0,0.0,2.0,"[96145.0, 95718.0, 96056.0, 96116.0, 95809.0]",0.4,-13.0,-2.5999999999999996
Hanover-Horton,95832,2011,4,3.5,4.0,14.0,4,4.75,1.5,19.0,1.0,3.0,"[95899.0, 96247.0, 96221.0, 96285.0]",0.75,-5.0,-1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harbor Beach,96135,2011,2,8.5,8.5,17.0,2,3.0,3.0,6.0,1.0,1.0,"[96326.0, 95965.0]",0.5,11.0,5.5,0.0,,,0.0,0.0,,,0.0,0.0,4.0,0.0,"[96280.0, 96280.0, 96196.0, 95874.0]",,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,2.0,0.0,"[96280.0, 96280.0]",,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,2.0,0.0,"[96196.0, 95874.0]",,0.0,
Harbor Springs,96075,2011,1,0.0,0.0,0.0,1,2.0,2.0,2.0,1.0,0.0,[96287.0],0.0,-2.0,-2.0,27.0,5.851851851851852,5.0,158.0,27.0,3.4444444444444446,2.0,93.0,10.0,0.0,17.0,"[95692.0, 95692.0, 96170.0, 96170.0, 96059.0, 96059.0, 96060.0, 96060.0, 96100.0, 95754.0, 95754.0, 633742.0, 633742.0, 95693.0, 95693.0, 96082.0, 96082.0, 96252.0, 96252.0, 95885.0, 95885.0, 95915.0, 95915.0, 96183.0, 96183.0, 95873.0, 95873.0]",0.6296296296296297,65.0,2.4074074074074074,14.0,5.928571428571429,5.5,83.0,14.0,3.7857142857142856,2.5,53.0,7.0,0.0,7.0,"[96059.0, 96059.0, 96100.0, 95754.0, 95754.0, 633742.0, 633742.0, 95693.0, 95885.0, 95885.0, 95915.0, 95915.0, 96183.0, 96183.0]",0.5,30.0,2.1428571428571432,13.0,5.769230769230769,5.0,75.0,13.0,3.076923076923077,2.0,40.0,3.0,0.0,10.0,"[95692.0, 95692.0, 96170.0, 96170.0, 96060.0, 96060.0, 95693.0, 96082.0, 96082.0, 96252.0, 96252.0, 95873.0, 95873.0]",0.7692307692307693,35.0,2.692307692307692
Harbor Springs Harbor Light Christian,633742,2011,2,5.5,5.5,11.0,2,4.5,4.5,9.0,1.0,1.0,"[96060.0, 95736.0]",0.5,2.0,1.0,4.0,4.25,4.0,17.0,4.0,6.75,5.5,27.0,2.0,3.0,2.0,"[96019.0, 96019.0, 96139.0, 95693.0, 95693.0, 96075.0, 96075.0]",0.5,-10.0,-2.5,0.0,,,0.0,0.0,,,0.0,0.0,3.0,0.0,"[96139.0, 95693.0, 95693.0]",,0.0,,4.0,4.25,4.0,17.0,4.0,6.75,5.5,27.0,2.0,0.0,2.0,"[96019.0, 96019.0, 96075.0, 96075.0]",0.5,-10.0,-2.5
