teamName,teamId,team_record_count,playoff_games_played,playoff_W,playoff_L,playoff_runs_scored_total,playoff_runs_allowed_total,regular_season_games_played,regular_season_W,regular_season_L,regular_season_runs_scored_total,regular_season_runs_allowed_total,home_games_played,home_W,home_L,home_runs_scored_total,home_runs_allowed_total,away_games_played,away_W,away_L,away_runs_scored_total,away_runs_allowed_total,playoff_win_pct,regular_season_win_pct,home_win_pct,away_win_pct,playoff_run_diff_total,regular_season_run_diff_total,home_run_diff_total,away_run_diff_total,playoff_run_diff_mean,regular_season_run_diff_mean,home_run_diff_mean,away_run_diff_mean,playoff_run_diff_per_game,regular_season_run_diff_per_game,home_run_diff_per_game,away_run_diff_per_game,playoff_W_per_year,playoff_L_per_year
Monroe,95920,10,17,7.0,10.0,84.0,82.0,130.0,67.0,62.0,698.0,729.0,52.0,26.0,26.0,258.0,257.0,78.0,41.0,36.0,440.0,472.0,0.4117647058823529,0.5153846153846153,0.5,0.5256410256410257,2.0,-31.0,1.0,-32.0,0.11764705882352941,-0.23846153846153847,0.019230769230769232,-0.41025641025641024,0.11764705882352941,-0.23846153846153847,0.019230769230769232,-0.41025641025641024,0.7,1.0
Monroe Jefferson,96229,10,12,2.0,10.0,40.0,65.0,154.0,54.0,99.0,675.0,1108.0,91.0,35.0,55.0,419.0,646.0,63.0,19.0,44.0,256.0,462.0,0.16666666666666666,0.35064935064935066,0.38461538461538464,0.30158730158730157,-25.0,-433.0,-227.0,-206.0,-2.0833333333333335,-2.811688311688312,-2.4945054945054945,-3.2698412698412698,-2.0833333333333335,-2.811688311688312,-2.4945054945054945,-3.2698412698412698,0.2,1.0
Monroe St Mary Catholic Central,95897,10,26,16.0,10.0,127.0,69.0,116.0,59.0,56.0,651.0,571.0,55.0,26.0,28.0,299.0,291.0,61.0,33.0,28.0,352.0,280.0,0.6153846153846154,0.5086206896551724,0.4727272727272727,0.5409836065573771,58.0,80.0,8.0,72.0,2.230769230769231,0.6896551724137931,0.14545454545454545,1.180327868852459,2.230769230769231,0.6896551724137931,0.14545454545454545,1.180327868852459,1.6,1.0
Montague,95947,10,24,14.0,10.0,136.0,81.0,222.0,137.0,85.0,1516.0,975.0,112.0,71.0,41.0,827.0,484.0,110.0,66.0,44.0,689.0,491.0,0.5833333333333334,0.6171171171171171,0.6339285714285714,0.6,55.0,541.0,343.0,198.0,2.2916666666666665,2.436936936936937,3.0625,1.8,2.2916666666666665,2.436936936936937,3.0625,1.8,1.4,1.0
Montrose,407723,9,19,10.0,9.0,119.0,104.0,60.0,18.0,42.0,305.0,526.0,29.0,10.0,19.0,134.0,236.0,31.0,8.0,23.0,171.0,290.0,0.5263157894736842,0.3,0.3448275862068966,0.25806451612903225,15.0,-221.0,-102.0,-119.0,0.7894736842105263,-3.683333333333333,-3.5172413793103448,-3.838709677419355,0.7894736842105263,-3.683333333333333,-3.5172413793103448,-3.838709677419355,1.1111111111111112,1.0
Montrose Hill McCloy,95807,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1.0,0.0,0.0,0.0,-1.0,,,,-1.0,,,,0.0,1.0
Morenci,96205,10,13,3.0,10.0,56.0,114.0,66.0,11.0,54.0,234.0,681.0,34.0,5.0,29.0,122.0,384.0,32.0,6.0,25.0,112.0,297.0,0.23076923076923078,0.16666666666666666,0.14705882352941177,0.1875,-58.0,-447.0,-262.0,-185.0,-4.461538461538462,-6.7727272727272725,-7.705882352941177,-5.78125,-4.461538461538462,-6.7727272727272725,-7.705882352941177,-5.78125,0.3,1.0
Morley Stanwood,96169,10,23,13.0,10.0,128.0,86.0,126.0,70.0,54.0,795.0,679.0,67.0,35.0,31.0,427.0,389.0,59.0,35.0,23.0,368.0,290.0,0.5652173913043478,0.5555555555555556,0.5223880597014925,0.5932203389830508,42.0,116.0,38.0,78.0,1.826086956521739,0.9206349206349206,0.5671641791044776,1.3220338983050848,1.826086956521739,0.9206349206349206,0.5671641791044776,1.3220338983050848,1.3,1.0
Morrice,96207,9,13,4.0,9.0,55.0,109.0,73.0,23.0,48.0,356.0,606.0,35.0,13.0,21.0,208.0,254.0,38.0,10.0,27.0,148.0,352.0,0.3076923076923077,0.3150684931506849,0.37142857142857144,0.2631578947368421,-54.0,-250.0,-46.0,-204.0,-4.153846153846154,-3.4246575342465753,-1.3142857142857143,-5.368421052631579,-4.153846153846154,-3.4246575342465753,-1.3142857142857143,-5.368421052631579,0.4444444444444444,1.0
Mount Pleasant,2164112,4,7,3.0,4.0,43.0,37.0,89.0,50.0,37.0,562.0,427.0,47.0,32.0,15.0,311.0,205.0,42.0,18.0,22.0,251.0,222.0,0.42857142857142855,0.5617977528089888,0.6808510638297872,0.42857142857142855,6.0,135.0,106.0,29.0,0.8571428571428571,1.5168539325842696,2.25531914893617,0.6904761904761905,0.8571428571428571,1.5168539325842696,2.25531914893617,0.6904761904761905,0.75,1.0
Mount Pleasant Sacred Heart,2163699,4,6,2.0,4.0,30.0,47.0,58.0,41.0,17.0,536.0,238.0,30.0,24.0,6.0,291.0,132.0,28.0,17.0,11.0,245.0,106.0,0.3333333333333333,0.7068965517241379,0.8,0.6071428571428571,-17.0,298.0,159.0,139.0,-2.8333333333333335,5.137931034482759,5.3,4.964285714285714,-2.8333333333333335,5.137931034482759,5.3,4.964285714285714,0.5,1.0
Mt Clemens,407725,1,1,0.0,1.0,0.0,1.0,11.0,2.0,9.0,47.0,118.0,4.0,2.0,2.0,22.0,23.0,7.0,0.0,7.0,25.0,95.0,0.0,0.18181818181818182,0.5,0.0,-1.0,-71.0,-1.0,-70.0,-1.0,-6.454545454545454,-0.25,-10.0,-1.0,-6.454545454545454,-0.25,-10.0,0.0,1.0
